"Core_Speed","L2_Cache","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","TMUs","Texture_Rate","Release_Date"
900,768,225,12288,264,1375,112,101,"01-Aug-2014 "
NA,0,250,4096,147.2,1150,80,68,"01-Sep-2010 "
900,768,225,6144,264,1375,112,101,"01-Aug-2012 "
NA,0,150,4096,153.6,1200,NA,NA,"01-Aug-2012 "
NA,0,274,3072,264,1375,128,109,"18-Jan-2014 "
NA,0,175,3072,240,1250,96,70,"18-Jan-2014 "
NA,0,75,1024,28.8,900,24,16,"01-Feb-2012 "
NA,0,65,NA,34.1,1067,32,24,"02-Feb-2016 "
NA,0,225,4096,153.6,1200,NA,NA,"23-Jun-2010 "
NA,0,95,NA,34.1,1067,24,20,"17-Feb-2014 "
NA,4096,95,NA,34.1,1067,32,27,"14-Jan-2014 "
NA,0,95,NA,34.1,1067,32,28,"28-May-2015 "
NA,0,95,NA,34.1,1067,32,28,"01-Mar-2016 "
825,768,375,6144,240,1250,224,185,"01-Nov-2012 "
NA,0,160,2048,108.8,850,40,30,"13-Nov-2008 "
NA,0,150,2048,128,1000,72,50,"01-Jun-2010 "
NA,0,105,2048,51.2,800,16,13,"08-Nov-2007 "
NA,0,65,NA,34.1,1067,32,27,"30-Jun-2014 "
NA,0,150,1024,63.6,993,40,25,"16-Jun-2008 "
NA,0,65,NA,34.1,1067,24,17,"30-Jun-2014 "
NA,0,35,NA,34.1,1067,32,22,"30-Jun-2014 "
757,4096,95,NA,34.1,1067,24,18,"20-Jul-2015 "
720,4096,95,NA,34.1,1067,24,17,"01-Feb-2015 "
NA,0,25,NA,25.6,800,24,14,"09-Apr-2014 "
NA,0,100,NA,34.1,1067,24,20,"01-Jun-2013 "
NA,0,65,NA,29.9,933,16,12,"30-Jun-2014 "
NA,0,25,NA,25.6,800,24,14,"09-Apr-2014 "
720,256,65,NA,34.1,1067,24,20,"28-Dec-2013 "
NA,0,65,NA,29.9,933,16,14,"01-Jun-2013 "
760,256,65,NA,34.1,1067,24,20,"18-Sep-2013 "
NA,0,65,NA,29.9,933,12,10,"01-Jun-2013 "
NA,0,NA,NA,NA,NA,NA,NA,"Unknown Release Date "
NA,0,NA,NA,29.9,933,NA,NA,"01-Jun-2012 "
NA,0,65,NA,29.9,933,12,9,"01-Jun-2012 "
NA,0,NA,NA,29.9,933,NA,NA,"01-Jul-2012 "
NA,0,NA,2048,NA,NA,NA,NA,"Unknown Release Date "
760,256,65,NA,34.1,1067,24,20,"18-Sep-2013 "
NA,0,65,NA,25.6,800,NA,NA,"01-Jun-2012 "
NA,0,65,NA,NA,NA,NA,NA,"30-Nov-2011 "
NA,0,65,NA,NA,NA,NA,NA,"20-Jun-2011 "
NA,0,25,256,8,500,4,3,"28-Jun-2007 "
NA,0,100,NA,NA,NA,NA,NA,"20-Jun-2011 "
NA,0,25,256,6.4,400,4,2,"01-Jun-2007 "
NA,0,35,256,16,500,8,5,"28-Jun-2007 "
NA,0,25,256,NA,NA,NA,NA,"28-Jun-2007 "
NA,0,20,256,6.4,400,4,2,"28-Jun-2007 "
NA,0,NA,256,6.4,400,4,2,"01-Jul-2007 "
NA,0,NA,NA,5.3,333,NA,NA,"28-Feb-2007 "
870,0,190,1024,134.4,1050,40,35,"18-May-2009 "
NA,0,64,NA,29.9,933,NA,NA,"20-Jun-2011 "
1000,0,190,1024,134.4,1050,40,40,"19-May-2009 "
NA,0,20,256,6.4,400,4,2,"01-Jan-2007 "
901,0,190,1024,128,1000,40,36,"02-Apr-2009 "
NA,0,420,2048,230.4,900,80,60,"01-Apr-2009 "
960,0,190,1024,134.4,1050,40,38,"26-May-2009 "
750,0,150,1024,115.2,900,40,30," 07-Mar-2009 "
850,0,190,1024,124.8,975,40,34,"02-Apr-2009 "
NA,0,150,512,115.2,900,40,30,"01-Jun-2008 "
780,0,150,512,121.6,950,40,31,"25-Jun-2008 "
625,0,250,2048,63.6,993,40,25,"01-Apr-2009 "
650,0,NA,1024,64,1000,40,26,"01-Oct-2011 "
NA,0,130,512,96,750,32,22,"09-Sep-2009 "
700,0,NA,512,70.4,1100,40,28,"01-Aug-2008 "
625,0,110,1024,63.6,993,40,25,"01-Jun-2008 "
640,0,110,512,60.2,940,40,26,"01-Oct-2011 "
700,0,NA,1024,63.4,990,40,28,"01-Jun-2009 "
